Associated Company (Primary),Amount,Deal Type,Deal Stage,Deal probability,Deal Score,Is Closed Won,Is closed lost,Is Closed (numeric),Is Deal Closed?,Is Open (numeric),Contract End Date,Close Date,Last Activity Date,Days to close,Recency_Days
Associated_9ea45ab3,1250.0,New,Opportunity,0.2,33.0,False,False,0.0,False,1.0,,2025-05-01 15:26:00,2025-02-20 14:06:00,69.0,53.0
Associated_77e18366,0.0,New,Partner Referrals ,0.05,13.0,False,False,0.0,False,1.0,,2025-07-20 09:06:00,,149.0,
Associated_77e18366,0.0,New,Partner Referrals ,0.05,13.0,False,False,0.0,False,1.0,,2025-07-20 09:03:00,,149.0,
Associated_77e18366,0.0,New,Partner Referrals ,0.05,13.0,False,False,0.0,False,1.0,,2025-07-20 08:55:00,,149.0,
Associated_edbdb698,50000.0,New,Deep Dive. PSP Drafted,0.2,37.0,False,False,0.0,False,1.0,,2025-06-20 15:01:00,2025-02-14 15:30:00,120.0,59.0
Associated_61700669,55000.0,New,Partner Referrals ,0.05,22.0,False,False,0.0,False,1.0,,2025-07-15 14:26:00,2025-02-13 17:00:00,149.0,60.0
Associated_754ae28b,25000.0,New,Opportunity,0.2,18.0,False,False,0.0,False,1.0,,2025-07-15 14:20:00,2025-02-18 10:00:00,149.0,55.0
Associated_238a17a9,66000.0,New,Closed Lost,0.0,,False,True,1.0,True,0.0,,2025-02-17 08:15:00,2025-01-23 10:30:00,2.0,81.0
Associated_5aea6385,18000.0,Renewal,Renewals ,0.8,65.0,False,False,0.0,False,1.0,,2025-07-01 16:07:00,2025-02-20 14:00:00,136.0,53.0
Associated_d828370b,1500.0,New,Closed Trial,0.7,39.0,False,False,0.0,False,1.0,,2025-07-14 13:25:00,2025-02-20 06:30:00,149.0,54.0
Associated_1e50a2dc,36000.0,PS,Negotiation,0.6,39.0,False,False,0.0,False,1.0,2026-02-28,2025-03-01 14:35:00,2025-02-17 12:45:00,15.0,56.0
Associated_d5d73b63,8640.0,Renewal,Renewals ,0.8,78.0,False,False,0.0,False,1.0,,2025-05-02 13:10:00,2025-02-14 09:16:00,78.0,59.0
Associated_5f406859,9000.0,New,Contract Sent,0.5,67.0,False,False,0.0,False,1.0,,2025-02-28 16:18:00,2025-02-20 14:18:00,17.0,53.0
Associated_40e6b3d8,15000.0,New,Opportunity,0.2,17.0,False,False,0.0,False,1.0,,2025-03-31 08:36:00,2025-02-06 15:00:00,51.0,67.0
Associated_a44196b5,50000.0,New,BANT Deal. Pain ID'ed,0.1,26.0,False,False,0.0,False,1.0,,2025-04-04 13:06:00,2025-02-18 17:45:00,60.0,55.0
Associated_19d0e31a,100000.0,New,Opportunity,0.2,8.0,False,False,0.0,False,1.0,,2025-06-23 14:19:00,2025-01-24 13:19:00,149.0,80.0
Associated_ced7599c,8750.0,Growth,Closed Won,1.0,,True,False,1.0,True,0.0,,2025-01-24 11:38:00,2025-01-22 14:07:00,0.0,82.0
Associated_ced7599c,61250.0,Renewal,Closed Won,1.0,,True,False,1.0,True,0.0,,2025-01-23 16:48:00,2025-01-22 14:07:00,0.0,82.0
Associated_962a5b50,30000.0,New,Opportunity,0.2,7.0,False,False,0.0,False,1.0,,2025-06-21 12:57:00,2025-02-12 22:14:00,149.0,61.0
Associated_18dbc2c2,1500.0,New,Negotiation,0.6,63.0,False,False,0.0,False,1.0,,2025-02-28 10:27:00,2025-02-03 15:30:00,36.0,70.0
Associated_251cfa24,50000.0,New,Partner Referrals ,0.05,4.0,False,False,0.0,False,1.0,,2025-06-16 09:33:00,2025-01-20 19:47:00,149.0,84.0
Associated_20e01e1c,9000.0,New,Closed Won,1.0,,True,False,1.0,True,0.0,,2025-02-17 11:22:00,2025-02-14 11:00:00,31.0,59.0
Associated_bcd8dc22,3240.0,Growth,Closed Won,1.0,,True,False,1.0,True,0.0,,2025-02-18 08:18:00,2025-02-04 12:00:00,32.0,69.0
Associated_57aad22b,66000.0,New,BANT Deal. Pain ID'ed,0.1,13.0,False,False,0.0,False,1.0,,2025-06-15 09:50:00,2025-01-21 13:10:00,149.0,83.0
Associated_50618d32,3300.0,Growth,Closed Won,1.0,,True,False,1.0,True,0.0,,2025-01-22 09:07:00,2025-01-13 10:15:00,7.0,91.0
