Create date,Close date,Pipeline,Target Launch Date,Kickoff Call,Technology_Count,Uses_Google_Tag_Manager,Uses_Salesforce,Uses_Microsoft_Office_365,Region,Create_Year_y,Create_Month_y,Create_Quarter,Create_YearMonth_y,Company_ID,Did_Upsell,Create_YearMonth
2023-12-18 15:02:00,2024-01-29 11:50:00,Project Success Plan,,2023-12-27,19,1,1,1,United States,2023,1,1,2023-01,United States_,1,2023-12
2024-10-30 12:31:00,2025-02-10 11:18:00,Project Success Plan,,,12,1,1,1,United States,2022,8,3,2022-08,United States_,1,2024-10
2024-12-12 09:01:00,,Project Success Plan,,2024-12-10,17,0,1,1,United States,2023,6,2,2023-06,United States_,1,2024-12
2023-09-07 16:37:00,2024-01-04 13:28:00,Project Success Plan,2023-10-02,2023-06-08,14,1,1,1,United States,2023,5,2,2023-05,United States_,1,2023-09
2025-02-14 13:34:00,,Project Success Plan,,,87,1,1,1,India,2025,2,1,2025-02,India_,0,2025-02
2024-07-31 10:27:00,2024-12-20 11:12:00,Project Success Plan,,2024-08-13,8,1,1,1,Sweden,2023,1,1,2023-01,Sweden_,1,2024-07
2024-07-31 10:28:00,2024-12-20 11:12:00,Project Success Plan,,2024-08-27,8,1,1,1,Sweden,2023,1,1,2023-01,Sweden_,1,2024-07
2024-09-10 09:29:00,2024-12-20 11:12:00,Project Success Plan,,2024-10-08,8,1,1,1,Sweden,2023,1,1,2023-01,Sweden_,0,2024-09
2023-08-28 15:52:00,2024-01-04 13:30:00,Project Success Plan,2023-09-22,2023-08-01,14,1,1,1,United States,2022,8,3,2022-08,United States_,1,2023-08
2023-12-05 13:02:00,2024-02-07 11:58:00,Project Success Plan,2023-12-11,2023-12-06,16,1,1,0,United States,2022,11,4,2022-11,United States_,1,2023-12
2024-04-03 07:42:00,2024-11-19 08:36:00,Project Success Plan,2024-05-15,2024-04-02,15,1,1,1,United States,2022,8,3,2022-08,United States_,1,2024-04
2025-01-07 09:56:00,,Project Success Plan,,,15,1,1,1,United States,2022,8,3,2022-08,United States_,1,2025-01
2024-10-25 16:23:00,,Project Success Plan,,,16,1,1,1,United States,2023,2,1,2023-02,United States_,1,2024-10
2024-12-20 09:16:00,,Project Success Plan,,2024-12-26,15,1,1,1,United States,2022,8,3,2022-08,United States_,1,2024-12
2025-01-16 14:06:00,2025-01-16 14:06:00,Project Success Plan,,,15,1,1,1,United States,2022,8,3,2022-08,United States_,1,2025-01
2024-07-26 12:19:00,2024-11-19 08:30:00,Project Success Plan,,2024-08-20,15,1,1,1,United States,2022,8,3,2022-08,United States_,1,2024-07
2023-06-01 15:14:00,2024-05-24 11:09:00,Project Success Plan,2023-10-01,2023-09-28,15,1,1,1,United States,2022,8,3,2022-08,United States_,1,2023-06
